Category,City,CustomerName,Discount,OrderID,PostalCode,ProductName,Profit,Quantity,Region,Sales,Segment,ShipMode,State,Sub_Category,SalesForecast,ShipStatus,OrderProfitable,SalesperCustomer,ProfitRatio,SalesaboveTarget,latitude,longitude,IsShippingDelayed,DaysBetweenOrderAndShip,MonthsBetweenOrderAndShip,OrderYear,OrderMonth,OrderDay,ShipYear,ShipMonth,ShipDay,ProductID,CustomerID,ShipID,LocationID,DateKey
Office Supplies,Houston,Darren Powers,0.2,CA-2011-103800,77095,"Message Book, Wirebound, Four 5 1/2 X 4 Forms/Pg., 200 Dupl. Sets/Book",6,2,Central,16,Consumer,Standard Class,Texas,Paper,22,Shipped Early,Yes,16.45,33.8,6.0,29.8941,-95.6481,No,4,0,2011,1,4,2011,1,8,1078,199,57,249,2011-01-04
Office Supplies,Naperville,Phillina Ober,0.2,CA-2011-112326,60540,Avery 508,4,3,Central,12,Home Office,Standard Class,Illinois,Labels,15,Shipped Early,Yes,11.78,36.3,3.0,41.7662,-88.141,No,4,0,2011,1,5,2011,1,9,216,612,162,389,2011-01-05
Office Supplies,Naperville,Phillina Ober,0.8,CA-2011-112326,60540,GBC Standard Plastic Binding Systems Combs,-5,2,Central,4,Home Office,Standard Class,Illinois,Binders,5,Shipped Early,No,3.54,-155.0,1.0,41.7662,-88.141,No,4,0,2011,1,5,2011,1,9,706,612,162,389,2011-01-05
Office Supplies,Naperville,Phillina Ober,0.2,CA-2011-112326,60540,SAFCO Boltless Steel Shelving,-65,3,Central,273,Home Office,Standard Class,Illinois,Storage,357,Shipped Early,No,272.74,-23.8,84.0,41.7662,-88.141,No,4,0,2011,1,5,2011,1,9,1361,612,162,389,2011-01-05
Office Supplies,Philadelphia,Mick Brown,0.2,CA-2011-141817,19143,"Avery Hi-Liter EverBold Pen Style Fluorescent Highlighters, 4/Pack",5,3,East,20,Consumer,Standard Class,Pennsylvania,Art,26,Shipped Late,Yes,19.54,25.0,6.0,39.9448,-75.2288,Yes,7,0,2011,1,6,2011,1,13,249,538,512,453,2011-01-06
Furniture,Henderson,Maria Etezadi,0.0,CA-2011-167199,42420,Global Deluxe High-Back Managers Chair,746,9,South,2574,Home Office,Standard Class,Kentucky,Chairs,3373,Shipped Early,Yes,2573.82,29.0,799.0,37.8274,-87.5632,No,4,0,2011,1,7,2011,1,11,740,487,777,232,2011-01-07
Office Supplies,Athens,Jack OBriant,0.0,CA-2011-106054,30605,"Dixon Prang Watercolor Pencils, 10-Color Set with Brush",5,3,South,13,Corporate,First Class,Georgia,Art,17,Shipped On Time,Yes,12.78,41.0,4.0,33.9321,-83.3525,No,1,0,2011,1,7,2011,1,8,526,342,84,23,2011-01-07
Office Supplies,Henderson,Maria Etezadi,0.0,CA-2011-167199,42420,"Alliance Super-Size Bands, Assorted Sizes",0,4,South,31,Home Office,Standard Class,Kentucky,Fasteners,41,Shipped Early,No,31.12,1.0,10.0,37.8274,-87.5632,No,4,0,2011,1,7,2011,1,11,132,487,777,232,2011-01-07
Office Supplies,Henderson,Maria Etezadi,0.0,CA-2011-167199,42420,Ibico Hi-Tech Manual Binding System,274,2,South,610,Home Office,Standard Class,Kentucky,Binders,799,Shipped Early,Yes,609.98,45.0,189.0,37.8274,-87.5632,No,4,0,2011,1,7,2011,1,11,893,487,777,232,2011-01-07
Office Supplies,Henderson,Maria Etezadi,0.0,CA-2011-167199,42420,Rogers Handheld Barrel Pencil Sharpener,1,2,South,5,Home Office,Standard Class,Kentucky,Art,7,Shipped Early,Yes,5.48,27.0,2.0,37.8274,-87.5632,No,4,0,2011,1,7,2011,1,11,1350,487,777,232,2011-01-07
Office Supplies,Henderson,Maria Etezadi,0.0,CA-2011-167199,42420,Southworth 25% Cotton Granite Paper & Envelopes,3,1,South,7,Home Office,Standard Class,Kentucky,Paper,9,Shipped Early,Yes,6.54,46.0,2.0,37.8274,-87.5632,No,4,0,2011,1,7,2011,1,11,1467,487,777,232,2011-01-07
Office Supplies,Los Angeles,Lycoris Saunders,0.0,CA-2011-130813,90049,Xerox 225,9,3,West,19,Consumer,Second Class,California,Paper,25,Shipped Early,Yes,19.44,48.0,6.0,34.066,-118.474,No,2,0,2011,1,7,2011,1,9,1813,481,381,327,2011-01-07
Technology,Henderson,Maria Etezadi,0.0,CA-2011-167199,42420,GE 30524EE4,114,2,South,392,Home Office,Standard Class,Kentucky,Phones,514,Shipped Early,Yes,391.98,29.0,122.0,37.8274,-87.5632,No,4,0,2011,1,7,2011,1,11,722,487,777,232,2011-01-07
Technology,Henderson,Maria Etezadi,0.0,CA-2011-167199,42420,Wireless Extenders zBoost YX545 SOHO Signal Booster,204,4,South,756,Home Office,Standard Class,Kentucky,Phones,991,Shipped Early,Yes,755.96,27.0,235.0,37.8274,-87.5632,No,4,0,2011,1,7,2011,1,11,1648,487,777,232,2011-01-07
Furniture,Huntsville,Vivek Sundaresam,0.6,CA-2011-105417,77340,Howard Miller 14-1/2 Diameter Chrome Round Wall Clock,-54,3,Central,77,Consumer,Standard Class,Texas,Furnishings,101,Shipped Early,No,76.73,-70.0,24.0,30.6448,-95.5798,No,5,0,2011,1,8,2011,1,13,879,786,79,252,2011-01-08
Office Supplies,Huntsville,Vivek Sundaresam,0.8,CA-2011-105417,77340,"Acco Four Pocket Poly Ring Binder with Label Holder, Smoke, 1",-18,7,Central,10,Consumer,Standard Class,Texas,Binders,14,Shipped Early,No,10.43,-175.0,4.0,30.6448,-95.5798,No,5,0,2011,1,8,2011,1,13,61,786,79,252,2011-01-08
Office Supplies,Laredo,Melanie Seite,0.2,CA-2011-135405,78041,Newell 312,1,2,Central,9,Consumer,Standard Class,Texas,Art,12,Shipped Early,Yes,9.34,12.5,3.0,27.5569,-99.4907,No,4,0,2011,1,10,2011,1,14,1115,521,438,296,2011-01-10
Technology,Laredo,Melanie Seite,0.2,CA-2011-135405,78041,Memorex Micro Travel Drive 8 GB,10,3,Central,31,Consumer,Standard Class,Texas,Accessories,41,Shipped Early,Yes,31.2,31.3,10.0,27.5569,-99.4907,No,4,0,2011,1,10,2011,1,14,1070,521,438,296,2011-01-10
Furniture,Springfield,Anthony Jacobs,0.0,CA-2011-149020,22153,Howard Miller 11-1/2 Diameter Ridgewood Wall Clock,21,1,South,52,Corporate,Standard Class,Virginia,Furnishings,68,Shipped Early,Yes,51.94,41.0,16.0,38.7449,-77.237,No,5,0,2011,1,11,2011,1,16,872,52,583,562,2011-01-11
Office Supplies,Springfield,Anthony Jacobs,0.0,CA-2011-149020,22153,Avery 482,1,1,South,3,Corporate,Standard Class,Virginia,Labels,4,Shipped Early,Yes,2.89,47.0,1.0,38.7449,-77.237,No,5,0,2011,1,11,2011,1,16,188,52,583,562,2011-01-11
Furniture,Dover,Seth Vernon,0.0,CA-2011-130092,19901,"DAX Value U-Channel Document Frames, Easel Back",3,2,East,10,Consumer,First Class,Delaware,Furnishings,13,Shipped Late,Yes,9.94,31.0,3.0,39.1564,-75.4955,Yes,3,0,2011,1,12,2011,1,15,491,690,371,151,2011-01-12
Furniture,Mount Pleasant,Natalie DeCherney,0.0,CA-2011-109232,29464,Global Highback Leather Tilter in Burgundy,87,6,South,546,Consumer,Second Class,South Carolina,Chairs,715,Shipped On Time,Yes,545.94,16.0,169.0,32.8473,-79.8206,No,3,0,2011,1,14,2011,1,17,752,557,121,382,2011-01-14
Furniture,San Francisco,Brian Dahlen,0.15,CA-2011-157147,94109,"OSullivan Elevations Bookcase, Cherry Finish",4,3,West,334,Consumer,Standard Class,California,Bookcases,438,Shipped Early,Yes,334.0,1.2,104.0,37.7917,-122.4186,No,5,0,2011,1,14,2011,1,19,1191,107,671,528,2011-01-14
Office Supplies,Bossier City,Chris Selesnick,0.0,CA-2011-162775,71111,Brown Kraft Recycled Envelopes,25,3,South,51,Corporate,Second Class,Louisiana,Envelopes,67,Shipped Early,Yes,50.94,50.0,16.0,32.5449,-93.7038,No,2,0,2011,1,14,2011,1,16,372,149,720,52,2011-01-14
Office Supplies,Bossier City,Chris Selesnick,0.0,CA-2011-162775,71111,Fellowes Stor/Drawer Steel Plus Storage Drawers,34,6,South,573,Corporate,Second Class,Louisiana,Storage,750,Shipped Early,Yes,572.58,6.0,177.0,32.5449,-93.7038,No,2,0,2011,1,14,2011,1,16,656,149,720,52,2011-01-14
Office Supplies,Bossier City,Chris Selesnick,0.0,CA-2011-162775,71111,Staples,5,2,South,11,Corporate,Second Class,Louisiana,Envelopes,15,Shipped Early,Yes,11.36,47.0,4.0,32.5449,-93.7038,No,2,0,2011,1,14,2011,1,16,1490,149,720,52,2011-01-14
Office Supplies,Bossier City,Chris Selesnick,0.0,CA-2011-162775,71111,Staples,3,3,South,6,Corporate,Second Class,Louisiana,Binders,7,Shipped Early,Yes,5.64,48.0,1.0,32.5449,-93.7038,No,2,0,2011,1,14,2011,1,16,1490,149,720,52,2011-01-14
Office Supplies,Newark,Michael Moore,0.7,CA-2011-118192,43055,Avery Metallic Poly Binders,-3,2,East,3,Consumer,Standard Class,Ohio,Binders,5,Shipped Early,No,3.44,-73.3,2.0,40.0724,-82.4046,No,5,0,2011,1,14,2011,1,19,257,527,227,402,2011-01-14
Office Supplies,Newark,Michael Moore,0.2,CA-2011-118192,43055,Xerox 1923,13,7,East,37,Consumer,Standard Class,Ohio,Paper,49,Shipped Early,Yes,37.41,35.0,12.0,40.0724,-82.4046,No,5,0,2011,1,14,2011,1,19,1700,527,227,402,2011-01-14
Office Supplies,San Francisco,Brian Dahlen,0.0,CA-2011-157147,94109,4009 Highlighters by Sanford,7,5,West,20,Consumer,Standard Class,California,Art,26,Shipped Early,Yes,19.9,33.0,6.0,37.7917,-122.4186,No,5,0,2011,1,14,2011,1,19,27,107,671,528,2011-01-14
Office Supplies,San Francisco,Brian Dahlen,0.0,CA-2011-157147,94109,Tennsco 6- and 18-Compartment Lockers,239,5,West,1326,Consumer,Standard Class,California,Storage,1737,Shipped Early,Yes,1325.85,18.0,411.0,37.7917,-122.4186,No,5,0,2011,1,14,2011,1,19,1539,107,671,528,2011-01-14
Technology,Bossier City,Chris Selesnick,0.0,CA-2011-162775,71111,Plantronics S12 Corded Telephone Headset System,259,6,South,647,Corporate,Second Class,Louisiana,Accessories,847,Shipped Early,Yes,646.74,40.0,200.0,32.5449,-93.7038,No,2,0,2011,1,14,2011,1,16,1272,149,720,52,2011-01-14
Furniture,Philadelphia,Brendan Sweed,0.5,CA-2011-149524,19140,Sauder Cornerstone Collection Library,-53,4,East,62,Corporate,First Class,Pennsylvania,Bookcases,81,Shipped On Time,No,61.96,-86.0,19.0,40.0118,-75.1456,No,1,0,2011,1,15,2011,1,16,1421,106,587,452,2011-01-15
Technology,Roswell,Erica Hackney,0.0,CA-2011-103366,30076,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,66,5,South,150,Consumer,First Class,Georgia,Accessories,196,Shipped Late,Yes,149.95,44.0,46.0,34.0213,-84.3104,Yes,2,0,2011,1,16,2011,1,18,990,265,47,505,2011-01-16
Furniture,Philadelphia,Delfina Latchford,0.2,CA-2011-115791,19134,DAX Black Cherry Wood-Tone Poster Frame,29,6,East,127,Consumer,Second Class,Pennsylvania,Furnishings,167,Shipped Early,Yes,127.1,22.5,40.0,39.9925,-75.1133,No,2,0,2011,1,17,2011,1,19,478,220,201,451,2011-01-17
Office Supplies,Philadelphia,Delfina Latchford,0.7,CA-2011-115791,19134,GBC Linen Binding Covers,-14,2,East,19,Consumer,Second Class,Pennsylvania,Binders,24,Shipped Early,No,18.59,-73.3,5.0,39.9925,-75.1133,No,2,0,2011,1,17,2011,1,19,691,220,201,451,2011-01-17
Office Supplies,Philadelphia,Delfina Latchford,0.2,CA-2011-115791,19134,Round Specialty Laser Printer Labels,10,3,East,30,Consumer,Second Class,Pennsylvania,Labels,39,Shipped Early,Yes,30.07,33.8,9.0,39.9925,-75.1133,No,2,0,2011,1,17,2011,1,19,1355,220,201,451,2011-01-17
Technology,Philadelphia,Delfina Latchford,0.4,CA-2011-115791,19134,AT&T 841000 Phone,-31,3,East,124,Consumer,Second Class,Pennsylvania,Phones,163,Shipped Early,No,124.2,-25.0,39.0,39.9925,-75.1133,No,2,0,2011,1,17,2011,1,19,39,220,201,451,2011-01-17
Office Supplies,Springfield,David Wiener,0.2,CA-2011-123477,97477,Fellowes Mighty 8 Compact Surge Protector,6,4,West,65,Corporate,Second Class,Oregon,Appliances,85,Shipped On Time,Yes,64.86,10.0,20.0,44.0611,-123.0153,No,3,0,2011,1,19,2011,1,22,642,212,284,561,2011-01-19
Furniture,Scottsdale,Toby Swindell,0.7,CA-2011-146591,85254,OSullivan 4-Shelf Bookcase in Odessa Pine,-321,5,West,181,Consumer,First Class,Arizona,Bookcases,238,Shipped On Time,No,181.47,-176.7,57.0,33.6165,-111.9554,No,1,0,2011,1,20,2011,1,21,1187,755,555,543,2011-01-20
Office Supplies,Scottsdale,Toby Swindell,0.7,CA-2011-146591,85254,"GBC Standard Recycled Report Covers, Clear Plastic Sheets",-24,10,West,32,Consumer,First Class,Arizona,Binders,42,Shipped On Time,No,32.34,-73.3,10.0,33.6165,-111.9554,No,1,0,2011,1,20,2011,1,21,707,755,555,543,2011-01-20
